2021068	2021-03-19	0207081619212732434648496164666874777980
2021067	2021-03-18	0105101223262933343637434445535463646777
2021066	2021-03-17	0405081121303436394450525960676871747678
2021065	2021-03-16	0306091017182122343637394652545963647677
2021064	2021-03-15	0509111215192730343840434547525862707275
2021063	2021-03-14	0205101123272935424751535759636567717378
2021062	2021-03-13	0408091012172428313240414549526774757779
2021061	2021-03-12	0607091011141520212440414350515861657379
2021060	2021-03-11	0103171823252829333644525355596061657678
2021059	2021-03-10	0102091113172425303741546063657172747778
2021058	2021-03-09	0204222526283339434446525556666768737577
2021057	2021-03-08	0508101114152023293334475359606667717576
2021056	2021-03-07	0607151722232730384046475053556170717280
2021055	2021-03-06	0712171820242637384445485051576263646578
2021054	2021-03-05	0607121323303336394445464856596267727879
2021053	2021-03-04	0811131523262734394245496568717273747577
2021052	2021-03-03	0811121921273032384043444750515253606676
2021051	2021-03-02	0306071013152328354548525457676875767879
2021050	2021-03-01	0104070915212425303544495052545765697880
2021049	2021-02-28	0102041022232433353947505456626774777879
2021048	2021-02-27	0512202228333637495052535961636669707475
2021047	2021-02-26	0205060715162124323541475257617071727379
2021046	2021-02-25	0305141621252733343642515258627174757980
2021045	2021-02-24	0203121419273435364748515254555963646676
2021044	2021-02-23	0709161819222439424547525659626364727376
2021043	2021-02-22	0102030608102930363943444650535455616275
2021042	2021-02-21	0105091619272831363749515357606264656977
2021041	2021-02-20	0911151618192627294347485051525764677174
2021040	2021-02-19	0105141518272931324344474960717273777880
2021039	2021-02-08	0609101519203043464748505255586072737778
2021038	2021-02-07	0115192930333537384445475057596168747576
2021037	2021-02-06	0304050711132227314446475963666769767879
2021036	2021-02-05	0310111314151819303442444750525961646773
2021035	2021-02-04	0105082022232529343536454751525354586777
2021034	2021-02-03	0214151722232737424549535561626667717677
2021033	2021-02-02	0110171921242729303143505364676971737680
2021032	2021-02-01	0306091012171920283233363840424849515363
2021031	2021-01-31	0106101219202223253234394350535758626667
2021030	2021-01-30	1012131421222325272829333444485560707780
2021029	2021-01-29	0207091724272829303335414849515968697779
2021028	2021-01-28	0613171819202325335055565859616267687380
2021027	2021-01-27	0708131419262829313545515354596162637780
2021026	2021-01-26	0609121516232526283334374142445253546178
2021025	2021-01-25	0208111315171820252629303745505152606375
2021024	2021-01-24	0106070912181920232434415253596267697280
2021023	2021-01-23	0204060910121314182335394552596067687074
2021022	2021-01-22	0102030506121517212226293033434951585961
2021021	2021-01-21	0306121315212528323442454654556063657078
2021020	2021-01-20	0411131416171920252829303435416570747677
2021019	2021-01-19	0204051217192431353638414244535660707680
2021018	2021-01-18	0318202225303740434550516165677274757678
2021017	2021-01-17	0710121520343743454851545758596162737680
2021016	2021-01-16	0405070910111317253032545557606470727476
2021015	2021-01-15	0204101618273738394043464749505660627175
2021014	2021-01-14	0711193436373839424757606269727375767778
2021013	2021-01-13	0513151619222728364143485056606567727780
2021012	2021-01-12	0204061016171924273034384044484956606366
2021011	2021-01-11	0110112426273238495960636668697172737677
2021010	2021-01-10	0205091416222426323536374041444965707174
2021009	2021-01-09	0203131625283537414546484950526162657076
2021008	2021-01-08	0405080913192021242840485057636566697075
2021007	2021-01-07	0507101114162122253540464952546466686970
2021006	2021-01-06	0507101416171925323435384043515354577377
2021005	2021-01-05	0309141517192327283033353654575863656972
2021004	2021-01-04	0308111213141622232733374648515253637580
2021003	2021-01-03	0711131416172023273031333437435355626669
2021002	2021-01-02	0610111314283036394344474859676971737579
2021001	2021-01-01	0912161833364041464851535455596162636875
2020065	2020-12-31	0708092134353940424451555863676871727579
2020064	2020-12-30	0103070812273032333942484952576265707379
2020063	2020-12-29	0204131527293137424347505154566061627577
2020062	2020-12-28	0102060708102733344042454651565860627076
2020061	2020-12-27	1012131923242830353940434546505962677179
2020060	2020-12-26	0104121518414547485253585962646566737479
2020059	2020-12-25	0412141617212223273038414447485760626469
2020058	2020-12-24	0104071314162123253337394051566168707174
2020057	2020-12-23	0310131624303137414446475052566061687280
2020056	2020-12-22	0204081214162328363738414346495155565770
2020055	2020-12-21	0210131516242829323435394649545765707477
2020054	2020-12-20	0407111415192425333439414752616468727378
2020053	2020-12-19	0206111517242528293034424348505362647072
2020052	2020-12-18	0102050607091819242627344041535456636574
2020051	2020-12-17	0104081115212334383941475160687173767779
2020050	2020-12-16	0405081415202329414250515360676870717679
2020049	2020-12-15	0712151819202931424652545963656770717780
2020048	2020-12-14	0210111215192027323645475362666769737879
2020047	2020-12-13	0405101718222728374243454648495154556678
2020046	2020-12-12	0305111518192730323336373942515466687179
2020045	2020-12-11	0306131419222330313538414452596370737578
2020044	2020-12-10	0203070911121626283233344445464852576366
2020043	2020-12-09	0509131819213335383940444857646567686976
2020042	2020-12-08	0205060811192634404349525358606163727576
2020041	2020-12-07	0613192126303738394142454748525362727580
2020040	2020-12-06	0304070816263233374142455659616365667680
2020039	2020-12-05	0103070911171923323438404243526168707780
2020038	2020-12-04	1012141516232427303233424950516066677277
2020037	2020-12-03	0810141525333436394041444856606364707780
2020036	2020-12-02	0309141622232426404147495456586567727377
2020035	2020-12-01	0305070811192430324044455354576372767780
2020034	2020-11-30	0104081824263032354244485157616365687374
